pm_experience_years,team_size,resource_utilization,overtime_hours,num_dependencies,planned_days,days_elapsed,percent_complete,milestone_delays,critical_path_length,budget_spent_pct,change_requests,open_issues,avg_issue_age_days,historical_on_time_rate,team_turnover_rate,client_response_lag_hours,scope_initial,scope_final,project_type,schedule_buffer_ratio,scope_creep_pct,issue_resolution_speed,is_late
2,68,1.2207283866671284,45,4,59,285,0.2914197555187794,7,72,1.242902200785972,4,3,97,0.8238373141689064,0.08994917737652652,79,93,136,Upgrade,0.12624449365881119,0.6297425358267961,3.814068852178795,1
23,44,1.2112377614746703,37,47,146,50,0.12083648750781106,8,11,1.1004100379476336,2,19,64,0.6686592438090971,0.7442431730614092,70,293,323,Migration,0.36260079186566696,0.12765950957637334,6.9409997518845685,1
19,104,0.7026950310833242,10,26,270,111,0.10737288491570485,5,18,1.2983558583132984,9,0,3,0.5741123977923226,0.6242223543004838,22,162,93,Upgrade,0.23077994507700983,0.25896830445665053,0.7932007830862658,0
13,132,0.5366553951682371,49,49,171,53,0.009343491855526853,4,14,1.4216312698261457,2,5,12,0.012908876503233468,0.8409902882523649,82,291,440,Migration,0.3736653118015544,0.16425622210725854,4.085674522228305,0
12,53,0.8037995218070693,49,20,86,162,0.9783563510022854,0,73,0.8462636585366512,1,11,67,0.8321713265597798,0.45319770943990345,45,89,453,Upgrade,0.7809361526391625,0.9322311979616016,7.7944252874777264,1
25,153,0.6571363048589508,2,41,359,111,0.6550809021847191,6,61,1.117744101261811,5,18,65,0.32654212984089526,0.5779671712130678,68,449,269,CustomDev,0.4618776964972473,0.9800787094675323,5.66824847822065,1
2,128,0.895788479215694,1,16,96,298,0.3212371192058079,9,92,0.7352021481668061,9,14,36,0.5511589194452144,0.13763941273891955,8,251,182,Migration,-0.20187449377694372,-0.13131466139014752,8.6600903120455,0
20,34,1.4793461191526043,12,22,58,279,0.5790785971200488,1,71,1.1787222784177482,2,17,64,0.8217317773879185,0.8846811504791032,64,95,535,Implementation,0.006089039986387101,0.287552788848038,1.6786176346535997,1
6,187,0.681071370905221,39,17,157,322,0.6190739499313963,2,87,0.8050844349866622,8,8,35,0.05288537596311771,0.3606985859932901,31,128,361,Implementation,0.3308168822825094,-0.013813372726936474,5.378600476937898,0
2,9,0.8188739434229689,29,27,67,150,0.18292895961100109,5,75,1.1044722178333795,2,17,46,0.3162980922540457,0.22669809262557394,78,287,453,Upgrade,0.3700570745327496,0.14941873027343144,7.114054451183483,0
